id,question,keywords,synonyms,tags,answer,priority,status,updated_at
101,請求書の発行方法は？,請求書,インボイス,経理,こちらの手順をご確認ください→ https://example.com/invoice,2,active,2025-01-03T12:00:00+09:00
102,パスワードを変更したい,パスワード,パス,設定,パスワード変更は設定画面から行えます。詳細はこちら→ https://example.com/password,3,active,2025-01-03T12:00:00+09:00
103,口座登録の手順,口座,銀行,設定,口座登録は以下の手順で行ってください：1.設定画面を開く 2.口座情報を入力 3.確認画面で承認,1,active,2025-01-03T12:00:00+09:00
104,見積書の作り方,見積書,見積,経理,見積書の作成手順をご案内します。テンプレートはこちらからダウンロードできます→ https://example.com/estimate,2,active,2025-01-03T12:00:00+09:00
105,領収書の管理方法,領収書,レシート,経理,領収書は月次で整理し、保管期間は7年間です。詳細な管理方法はこちら→ https://example.com/receipt,1,active,2025-01-03T12:00:00+09:00
106,ログインできない,ログイン,サインイン,トラブル,ログインできない場合は以下をお試しください：1.パスワードの確認 2.ブラウザのキャッシュクリア 3.サポートにお問い合わせ,3,active,2025-01-03T12:00:00+09:00
107,データのエクスポート方法,エクスポート,出力,データ,データのエクスポートは以下の手順で行えます：1.対象データを選択 2.エクスポート形式を選択 3.ファイルをダウンロード,1,active,2025-01-03T12:00:00+09:00
108,通知設定の変更,通知,アラート,設定,通知設定は設定画面の通知タブから変更できます。メール、プッシュ通知、SMSから選択可能です,1,active,2025-01-03T12:00:00+09:00
109,ファイルのアップロード方法,アップロード,ファイル,データ,ファイルアップロードはドラッグ&ドロップまたはファイル選択ボタンから行えます。対応形式：PDF、Excel、Word,2,active,2025-01-03T12:00:00+09:00
110,アカウントの削除方法,アカウント,削除,設定,アカウントの削除は設定画面のアカウントタブから行えます。削除前にデータのバックアップをお勧めします,3,active,2025-01-03T12:00:00+09:00
